age,party,turnout,age_group
20,Democrat,0,18-29
70,Republican,1,65+
85,Democrat,1,65+
63,Republican,1,45-64
86,Democrat,1,65+
53,Democrat,1,45-64
84,Independent,1,65+
51,Democrat,1,45-64
88,Republican,1,65+
67,Republican,0,65+
29,Republican,0,18-29
41,Democrat,1,30-44
36,Democrat,0,30-44
25,Democrat,0,18-29
86,Republican,1,65+
18,Democrat,1,18-29
76,Republican,0,65+
48,Republican,0,45-64
82,Democrat,1,65+
37,Independent,0,30-44
37,Republican,0,30-44
70,Republican,1,65+
68,Democrat,0,65+
49,Democrat,1,45-64
77,Republican,1,65+
63,Republican,1,45-64
64,Democrat,1,45-64
77,Republican,1,65+
78,Republican,1,65+
36,Republican,0,30-44
38,Democrat,1,30-44
62,Republican,0,45-64
49,Republican,1,45-64
34,Democrat,0,30-44
55,Republican,1,45-64
76,Democrat,0,65+
18,Republican,0,18-29
39,Republican,1,30-44
37,Democrat,0,30-44
69,Independent,1,65+
32,Independent,0,30-44
58,Republican,1,45-64
68,Democrat,1,65+
77,Republican,1,65+
40,Republican,1,30-44
80,Independent,0,65+
58,Republican,0,45-64
57,Democrat,0,45-64
26,Republican,0,18-29
31,Republican,1,30-44
30,Republican,1,30-44
25,Democrat,1,18-29
36,Democrat,0,30-44
47,Republican,0,45-64
24,Republican,0,18-29
61,Republican,0,45-64
59,Republican,1,45-64
61,Republican,0,45-64
20,Democrat,0,18-29
86,Democrat,1,65+
67,Democrat,1,65+
69,Democrat,1,65+
42,Democrat,0,30-44
41,Democrat,1,30-44
67,Republican,0,65+
74,Democrat,1,65+
66,Republican,0,65+
74,Republican,0,65+
60,Democrat,0,45-64
33,Republican,0,30-44
55,Democrat,1,45-64
81,Republican,1,65+
77,Democrat,1,65+
46,Republican,1,45-64
45,Republican,0,45-64
35,Republican,1,30-44
76,Democrat,1,65+
36,Republican,1,30-44
62,Republican,1,45-64
64,Democrat,0,45-64
50,Democrat,0,45-64
22,Republican,0,18-29
79,Democrat,0,65+
71,Republican,1,65+
84,Republican,0,65+
64,Republican,1,45-64
58,Republican,1,45-64
53,Democrat,0,45-64
62,Republican,1,45-64
63,Democrat,1,45-64
37,Republican,0,30-44
69,Republican,0,65+
82,Democrat,1,65+
85,Republican,1,65+
69,Republican,0,65+
33,Democrat,0,30-44
65,Republican,1,65+
40,Republican,1,30-44
19,Republican,1,18-29
87,Independent,0,65+
39,Republican,1,30-44
80,Democrat,0,65+
45,Democrat,1,45-64
40,Republican,1,30-44
19,Democrat,0,18-29
51,Democrat,0,45-64
28,Republican,0,18-29
42,Democrat,0,30-44
70,Democrat,1,65+
80,Democrat,1,65+
79,Republican,1,65+
56,Republican,0,45-64
36,Republican,1,30-44
19,Republican,0,18-29
60,Democrat,1,45-64
48,Republican,1,45-64
82,Republican,1,65+
76,Republican,0,65+
57,Democrat,1,45-64
81,Democrat,0,65+
28,Republican,1,18-29
30,Democrat,1,30-44
80,Democrat,0,65+
41,Republican,0,30-44
67,Democrat,1,65+
30,Republican,0,30-44
47,Republican,1,45-64
71,Democrat,1,65+
54,Independent,0,45-64
42,Independent,0,30-44
52,Democrat,0,45-64
63,Republican,0,45-64
72,Democrat,0,65+
34,Democrat,1,30-44
80,Republican,1,65+
31,Democrat,1,30-44
32,Democrat,0,30-44
21,Democrat,1,18-29
20,Republican,1,18-29
62,Republican,1,45-64
37,Democrat,0,30-44
27,Democrat,0,18-29
42,Democrat,0,30-44
21,Democrat,0,18-29
21,Democrat,1,18-29
26,Republican,0,18-29
74,Democrat,0,65+
65,Democrat,1,65+
46,Republican,1,45-64
75,Republican,1,65+
52,Democrat,1,45-64
31,Republican,0,30-44
51,Democrat,1,45-64
63,Democrat,1,45-64
29,Democrat,0,18-29
81,Democrat,0,65+
65,Democrat,0,65+
83,Democrat,0,65+
24,Democrat,1,18-29
38,Republican,1,30-44
85,Republican,0,65+
77,Democrat,1,65+
45,Democrat,1,45-64
78,Republican,1,65+
53,Democrat,1,45-64
46,Republican,1,45-64
39,Independent,0,30-44
39,Republican,0,30-44
57,Republican,0,45-64
48,Democrat,1,45-64
24,Independent,0,18-29
84,Republican,0,65+
85,Republican,1,65+
71,Republican,1,65+
45,Republican,1,45-64
87,Republican,1,65+
21,Republican,1,18-29
62,Democrat,1,45-64
47,Republican,1,45-64
38,Republican,0,30-44
70,Democrat,1,65+
65,Republican,1,65+
25,Republican,0,18-29
31,Republican,0,30-44
89,Democrat,1,65+
52,Democrat,0,45-64
19,Independent,0,18-29
86,Democrat,0,65+
77,Republican,0,65+
65,Republican,1,65+
23,Republican,0,18-29
39,Independent,0,30-44
31,Republican,0,30-44
29,Republican,1,18-29
83,Democrat,0,65+
43,Republican,0,30-44
47,Republican,0,45-64
32,Republican,0,30-44
27,Republican,1,18-29
76,Republican,1,65+
42,Republican,0,30-44
66,Democrat,0,65+
29,Republican,0,18-29
44,Democrat,0,30-44
59,Republican,1,45-64
51,Democrat,1,45-64
19,Republican,0,18-29
80,Democrat,1,65+
67,Democrat,1,65+
69,Republican,1,65+
20,Republican,0,18-29
71,Independent,1,65+
87,Republican,1,65+
28,Democrat,0,18-29
35,Independent,1,30-44
37,Democrat,0,30-44
24,Democrat,1,18-29
76,Democrat,1,65+
74,Democrat,1,65+
42,Democrat,1,30-44
28,Republican,1,18-29
33,Republican,0,30-44
81,Republican,1,65+
56,Republican,1,45-64
72,Democrat,1,65+
18,Democrat,0,18-29
60,Democrat,0,45-64
27,Republican,0,18-29
28,Democrat,0,18-29
25,Democrat,0,18-29
44,Democrat,0,30-44
36,Democrat,1,30-44
49,Democrat,0,45-64
69,Republican,0,65+
43,Republican,1,30-44
36,Democrat,0,30-44
86,Democrat,1,65+
84,Republican,1,65+
57,Democrat,0,45-64
84,Democrat,0,65+
70,Independent,1,65+
40,Democrat,0,30-44
20,Democrat,0,18-29
89,Republican,1,65+
27,Republican,1,18-29
38,Independent,0,30-44
42,Democrat,1,30-44
82,Democrat,1,65+
87,Democrat,0,65+
24,Democrat,0,18-29
67,Republican,0,65+
54,Democrat,0,45-64
55,Democrat,1,45-64
74,Republican,1,65+
39,Republican,1,30-44
25,Republican,0,18-29
57,Democrat,1,45-64
45,Democrat,1,45-64
31,Democrat,0,30-44
66,Republican,0,65+
81,Republican,1,65+
40,Independent,0,30-44
87,Democrat,1,65+
84,Republican,1,65+
82,Democrat,0,65+
34,Democrat,0,30-44
68,Republican,1,65+
63,Republican,1,45-64
55,Democrat,0,45-64
80,Democrat,1,65+
51,Republican,1,45-64
87,Democrat,1,65+
28,Democrat,1,18-29
73,Republican,0,65+
36,Democrat,0,30-44
84,Republican,0,65+
66,Republican,1,65+
68,Democrat,0,65+
30,Democrat,0,30-44
84,Democrat,1,65+
66,Democrat,1,65+
26,Republican,1,18-29
76,Democrat,0,65+
59,Republican,1,45-64
29,Democrat,1,18-29
40,Republican,0,30-44
53,Democrat,1,45-64
53,Republican,1,45-64
89,Republican,1,65+
68,Democrat,1,65+
81,Republican,1,65+
73,Independent,0,65+
48,Independent,0,45-64
88,Democrat,1,65+
24,Democrat,0,18-29
75,Democrat,0,65+
64,Independent,1,45-64
68,Independent,1,65+
32,Republican,1,30-44
53,Republican,1,45-64
85,Democrat,1,65+
30,Republican,1,30-44
80,Republican,1,65+
73,Democrat,0,65+
18,Republican,1,18-29
39,Democrat,1,30-44
18,Republican,0,18-29
51,Republican,0,45-64
23,Democrat,0,18-29
39,Democrat,1,30-44
62,Republican,0,45-64
26,Republican,1,18-29
71,Republican,1,65+
18,Republican,0,18-29
46,Democrat,1,45-64
80,Democrat,1,65+
26,Republican,0,18-29
23,Republican,0,18-29
57,Republican,1,45-64
79,Republican,1,65+
32,Republican,0,30-44
30,Republican,0,30-44
57,Democrat,1,45-64
48,Republican,1,45-64
87,Democrat,1,65+
76,Democrat,0,65+
51,Democrat,1,45-64
47,Democrat,1,45-64
62,Democrat,1,45-64
66,Democrat,1,65+
80,Democrat,1,65+
76,Democrat,1,65+
23,Republican,0,18-29
76,Republican,1,65+
27,Democrat,1,18-29
83,Republican,0,65+
56,Democrat,0,45-64
50,Democrat,1,45-64
71,Republican,1,65+
89,Democrat,1,65+
62,Democrat,0,45-64
51,Republican,0,45-64
48,Republican,1,45-64
71,Democrat,0,65+
22,Republican,1,18-29
65,Republican,0,65+
84,Republican,1,65+
75,Republican,1,65+
38,Democrat,0,30-44
22,Democrat,1,18-29
77,Republican,1,65+
88,Republican,1,65+
23,Democrat,0,18-29
66,Republican,0,65+
48,Democrat,0,45-64
56,Republican,1,45-64
81,Democrat,0,65+
42,Republican,1,30-44
74,Republican,1,65+
28,Republican,1,18-29
64,Republican,1,45-64
69,Republican,0,65+
36,Republican,1,30-44
68,Democrat,1,65+
63,Democrat,1,45-64
18,Republican,0,18-29
38,Republican,1,30-44
67,Democrat,1,65+
89,Democrat,1,65+
82,Democrat,1,65+
28,Republican,0,18-29
56,Democrat,1,45-64
51,Democrat,0,45-64
28,Independent,0,18-29
82,Democrat,0,65+
32,Democrat,0,30-44
76,Republican,1,65+
23,Democrat,1,18-29
74,Republican,1,65+
59,Democrat,0,45-64
68,Republican,1,65+
80,Republican,1,65+
34,Republican,1,30-44
30,Independent,1,30-44
43,Democrat,0,30-44
76,Republican,1,65+
68,Republican,0,65+
52,Republican,1,45-64
76,Democrat,1,65+
80,Republican,0,65+
52,Democrat,0,45-64
37,Democrat,0,30-44
24,Democrat,1,18-29
64,Democrat,1,45-64
85,Democrat,1,65+
58,Democrat,0,45-64
68,Democrat,1,65+
58,Democrat,0,45-64
53,Republican,0,45-64
81,Republican,1,65+
77,Democrat,1,65+
49,Democrat,1,45-64
49,Republican,1,45-64
75,Republican,0,65+
72,Democrat,1,65+
23,Republican,1,18-29
36,Democrat,1,30-44
56,Independent,1,45-64
57,Republican,0,45-64
53,Democrat,0,45-64
26,Republican,1,18-29
57,Republican,0,45-64
40,Democrat,0,30-44
54,Republican,0,45-64
63,Republican,1,45-64
41,Democrat,1,30-44
46,Republican,1,45-64
73,Democrat,1,65+
61,Democrat,1,45-64
79,Republican,1,65+
23,Democrat,1,18-29
27,Republican,1,18-29
30,Republican,0,30-44
30,Democrat,1,30-44
78,Democrat,0,65+
54,Democrat,0,45-64
29,Republican,0,18-29
72,Democrat,1,65+
61,Independent,1,45-64
76,Democrat,1,65+
88,Democrat,1,65+
30,Republican,1,30-44
25,Republican,1,18-29
79,Democrat,1,65+
27,Republican,1,18-29
25,Democrat,1,18-29
55,Democrat,1,45-64
66,Republican,1,65+
26,Republican,0,18-29
50,Democrat,0,45-64
74,Republican,1,65+
80,Republican,0,65+
66,Democrat,1,65+
29,Democrat,1,18-29
35,Independent,0,30-44
72,Republican,1,65+
65,Republican,1,65+
89,Democrat,1,65+
18,Democrat,0,18-29
21,Republican,0,18-29
37,Republican,1,30-44
45,Republican,1,45-64
51,Democrat,0,45-64
60,Democrat,0,45-64
29,Republican,1,18-29
80,Democrat,1,65+
47,Republican,1,45-64
39,Republican,0,30-44
54,Democrat,0,45-64
52,Democrat,1,45-64
61,Democrat,0,45-64
69,Republican,1,65+
78,Independent,0,65+
84,Democrat,1,65+
37,Democrat,0,30-44
82,Democrat,1,65+
44,Democrat,1,30-44
58,Republican,0,45-64
83,Independent,1,65+
80,Democrat,1,65+
36,Democrat,1,30-44
39,Democrat,0,30-44
78,Republican,1,65+
86,Independent,1,65+
40,Democrat,1,30-44
61,Republican,0,45-64
45,Republican,1,45-64
42,Democrat,1,30-44
65,Democrat,1,65+
86,Republican,1,65+
29,Democrat,0,18-29
43,Democrat,1,30-44
72,Democrat,1,65+
57,Democrat,1,45-64
43,Republican,0,30-44
89,Republican,1,65+
34,Republican,0,30-44
74,Democrat,1,65+
59,Democrat,1,45-64
57,Independent,0,45-64
67,Democrat,1,65+
52,Republican,1,45-64
40,Republican,0,30-44
42,Democrat,0,30-44
29,Democrat,0,18-29
84,Republican,1,65+
56,Democrat,1,45-64
27,Republican,0,18-29
47,Democrat,0,45-64
45,Republican,1,45-64
35,Democrat,0,30-44
26,Democrat,0,18-29
30,Independent,0,30-44
36,Republican,0,30-44
46,Independent,1,45-64
64,Independent,1,45-64
61,Republican,1,45-64
85,Republican,0,65+
78,Independent,1,65+
59,Democrat,0,45-64
89,Republican,1,65+
39,Republican,0,30-44
53,Republican,1,45-64
69,Democrat,0,65+
82,Republican,0,65+
38,Democrat,1,30-44
69,Republican,1,65+
59,Republican,1,45-64
77,Democrat,0,65+
42,Independent,1,30-44
83,Democrat,0,65+
51,Republican,0,45-64
77,Democrat,1,65+
45,Independent,0,45-64
64,Republican,1,45-64
84,Republican,1,65+
24,Democrat,1,18-29
70,Republican,1,65+
19,Republican,1,18-29
66,Republican,1,65+
40,Republican,1,30-44
35,Republican,0,30-44
23,Democrat,0,18-29
51,Republican,0,45-64
53,Democrat,1,45-64
26,Democrat,0,18-29
68,Republican,0,65+
55,Republican,1,45-64
78,Republican,1,65+
41,Democrat,1,30-44
36,Democrat,1,30-44
48,Republican,0,45-64
58,Democrat,1,45-64
36,Democrat,1,30-44
21,Independent,0,18-29
64,Republican,0,45-64
72,Republican,1,65+
77,Democrat,1,65+
43,Republican,1,30-44
79,Democrat,0,65+
56,Republican,1,45-64
50,Democrat,1,45-64
69,Republican,0,65+
51,Independent,1,45-64
40,Republican,1,30-44
49,Democrat,1,45-64
88,Republican,1,65+
56,Republican,1,45-64
87,Democrat,0,65+
22,Democrat,0,18-29
20,Republican,1,18-29
25,Republican,0,18-29
56,Democrat,0,45-64
19,Republican,1,18-29
68,Republican,0,65+
24,Democrat,0,18-29
47,Republican,0,45-64
83,Republican,1,65+
18,Republican,1,18-29
32,Republican,0,30-44
70,Democrat,1,65+
69,Democrat,1,65+
65,Democrat,0,65+
51,Democrat,1,45-64
38,Democrat,0,30-44
75,Independent,0,65+
77,Republican,1,65+
85,Republican,0,65+
76,Democrat,1,65+
51,Republican,1,45-64
58,Republican,0,45-64
54,Republican,0,45-64
58,Republican,1,45-64
56,Democrat,1,45-64
70,Democrat,0,65+
54,Republican,0,45-64
88,Democrat,1,65+
87,Democrat,1,65+
36,Republican,1,30-44
42,Republican,0,30-44
81,Republican,1,65+
80,Republican,1,65+
35,Democrat,1,30-44
67,Democrat,1,65+
63,Democrat,1,45-64
83,Democrat,1,65+
49,Republican,1,45-64
43,Republican,1,30-44
70,Republican,1,65+
53,Republican,0,45-64
28,Democrat,1,18-29
31,Democrat,0,30-44
37,Republican,1,30-44
57,Democrat,0,45-64
29,Democrat,0,18-29
50,Republican,1,45-64
24,Republican,0,18-29
34,Republican,1,30-44
79,Democrat,1,65+
84,Democrat,1,65+
74,Republican,0,65+
84,Democrat,1,65+
77,Republican,1,65+
77,Democrat,1,65+
26,Democrat,0,18-29
64,Republican,0,45-64
36,Democrat,0,30-44
54,Independent,0,45-64
66,Democrat,1,65+
24,Republican,0,18-29
33,Democrat,1,30-44
74,Republican,1,65+
87,Republican,1,65+
57,Republican,1,45-64
35,Democrat,0,30-44
44,Democrat,1,30-44
44,Democrat,0,30-44
34,Republican,0,30-44
22,Republican,0,18-29
57,Republican,1,45-64
64,Republican,1,45-64
49,Republican,0,45-64
80,Republican,0,65+
47,Republican,1,45-64
35,Democrat,1,30-44
20,Democrat,0,18-29
66,Democrat,0,65+
89,Democrat,1,65+
72,Democrat,0,65+
47,Independent,0,45-64
37,Republican,0,30-44
33,Republican,0,30-44
37,Republican,1,30-44
39,Democrat,1,30-44
39,Democrat,0,30-44
55,Republican,0,45-64
54,Republican,0,45-64
89,Democrat,1,65+
20,Republican,1,18-29
43,Independent,1,30-44
60,Democrat,0,45-64
76,Democrat,0,65+
86,Democrat,1,65+
25,Democrat,0,18-29
74,Republican,1,65+
57,Democrat,1,45-64
43,Democrat,0,30-44
69,Independent,1,65+
30,Democrat,1,30-44
44,Democrat,1,30-44
36,Republican,0,30-44
80,Democrat,1,65+
31,Independent,0,30-44
24,Republican,0,18-29
78,Republican,1,65+
80,Independent,1,65+
47,Republican,0,45-64
49,Democrat,0,45-64
36,Republican,1,30-44
75,Republican,1,65+
54,Republican,1,45-64
48,Democrat,1,45-64
88,Republican,1,65+
45,Republican,0,45-64
58,Republican,1,45-64
57,Republican,1,45-64
87,Independent,1,65+
82,Republican,1,65+
62,Independent,0,45-64
27,Independent,0,18-29
85,Republican,1,65+
25,Democrat,1,18-29
24,Democrat,0,18-29
26,Democrat,0,18-29
41,Democrat,0,30-44
70,Independent,0,65+
44,Democrat,1,30-44
45,Democrat,1,45-64
58,Democrat,1,45-64
36,Democrat,0,30-44
32,Republican,0,30-44
29,Democrat,0,18-29
47,Democrat,1,45-64
26,Republican,0,18-29
53,Democrat,0,45-64
48,Republican,1,45-64
41,Republican,1,30-44
79,Republican,1,65+
21,Republican,0,18-29
42,Republican,0,30-44
60,Republican,1,45-64
59,Democrat,0,45-64
32,Republican,0,30-44
47,Republican,1,45-64
27,Republican,1,18-29
73,Republican,1,65+
88,Republican,1,65+
20,Republican,0,18-29
68,Democrat,1,65+
72,Republican,1,65+
18,Republican,0,18-29
25,Republican,0,18-29
24,Democrat,0,18-29
25,Democrat,0,18-29
63,Democrat,0,45-64
18,Independent,0,18-29
83,Independent,1,65+
84,Republican,1,65+
76,Democrat,1,65+
29,Democrat,0,18-29
48,Republican,1,45-64
68,Democrat,1,65+
86,Republican,1,65+
35,Republican,1,30-44
24,Republican,0,18-29
63,Republican,1,45-64
32,Republican,0,30-44
41,Republican,1,30-44
50,Democrat,1,45-64
65,Democrat,1,65+
26,Democrat,0,18-29
59,Democrat,0,45-64
48,Democrat,1,45-64
81,Republican,1,65+
80,Democrat,1,65+
18,Democrat,1,18-29
50,Independent,1,45-64
26,Republican,0,18-29
22,Democrat,0,18-29
71,Democrat,1,65+
28,Democrat,1,18-29
75,Independent,0,65+
48,Democrat,1,45-64
60,Independent,0,45-64
50,Republican,1,45-64
46,Republican,1,45-64
20,Democrat,0,18-29
73,Republican,0,65+
70,Democrat,0,65+
82,Independent,1,65+
32,Republican,1,30-44
21,Democrat,0,18-29
50,Republican,1,45-64
40,Republican,1,30-44
64,Democrat,0,45-64
79,Republican,1,65+
79,Republican,1,65+
30,Republican,0,30-44
89,Republican,1,65+
57,Democrat,0,45-64
52,Democrat,1,45-64
43,Republican,1,30-44
68,Democrat,1,65+
21,Republican,0,18-29
61,Republican,0,45-64
46,Republican,0,45-64
58,Democrat,1,45-64
78,Democrat,1,65+
72,Democrat,1,65+
19,Democrat,1,18-29
79,Republican,1,65+
66,Democrat,0,65+
82,Republican,1,65+
45,Democrat,1,45-64
65,Independent,1,65+
33,Republican,1,30-44
31,Republican,1,30-44
68,Independent,1,65+
79,Democrat,1,65+
41,Democrat,1,30-44
46,Democrat,1,45-64
85,Republican,1,65+
47,Republican,1,45-64
88,Democrat,1,65+
77,Democrat,1,65+
67,Republican,1,65+
56,Democrat,1,45-64
68,Republican,0,65+
33,Democrat,1,30-44
31,Democrat,0,30-44
74,Republican,1,65+
66,Republican,1,65+
48,Republican,0,45-64
85,Republican,1,65+
61,Democrat,1,45-64
64,Democrat,1,45-64
62,Independent,1,45-64
69,Republican,1,65+
82,Republican,1,65+
47,Republican,1,45-64
42,Democrat,0,30-44
33,Republican,0,30-44
71,Democrat,1,65+
28,Republican,1,18-29
69,Republican,0,65+
60,Republican,0,45-64
84,Democrat,1,65+
34,Republican,0,30-44
75,Democrat,0,65+
33,Democrat,1,30-44
35,Republican,0,30-44
74,Democrat,0,65+
89,Democrat,1,65+
81,Democrat,1,65+
79,Republican,0,65+
33,Republican,0,30-44
76,Independent,1,65+
49,Democrat,1,45-64
75,Republican,1,65+
54,Republican,1,45-64
36,Republican,0,30-44
87,Democrat,1,65+
41,Independent,0,30-44
70,Independent,0,65+
22,Democrat,0,18-29
21,Republican,0,18-29
58,Independent,1,45-64
82,Democrat,0,65+
31,Democrat,0,30-44
60,Democrat,1,45-64
56,Independent,0,45-64
74,Democrat,0,65+
49,Republican,1,45-64
46,Republican,1,45-64
60,Republican,0,45-64
18,Democrat,0,18-29
67,Republican,1,65+
43,Republican,1,30-44
61,Republican,1,45-64
69,Republican,0,65+
86,Democrat,1,65+
22,Independent,0,18-29
47,Republican,0,45-64
32,Independent,0,30-44
54,Democrat,1,45-64
79,Democrat,1,65+
78,Republican,1,65+
37,Republican,0,30-44
43,Republican,1,30-44
51,Republican,0,45-64
20,Republican,0,18-29
82,Republican,0,65+
61,Republican,1,45-64
49,Democrat,1,45-64
82,Democrat,1,65+
79,Democrat,0,65+
70,Republican,1,65+
23,Republican,1,18-29
84,Democrat,1,65+
86,Democrat,0,65+
61,Democrat,0,45-64
81,Democrat,0,65+
42,Independent,1,30-44
87,Republican,1,65+
31,Democrat,1,30-44
39,Democrat,1,30-44
59,Democrat,1,45-64
27,Democrat,0,18-29
22,Republican,0,18-29
21,Republican,0,18-29
38,Democrat,1,30-44
84,Republican,1,65+
29,Democrat,0,18-29
31,Democrat,0,30-44
26,Republican,0,18-29
67,Democrat,1,65+
64,Democrat,1,45-64
35,Democrat,1,30-44
22,Democrat,0,18-29
29,Democrat,0,18-29
50,Republican,0,45-64
43,Independent,0,30-44
71,Republican,0,65+
22,Democrat,1,18-29
20,Democrat,0,18-29
69,Democrat,0,65+
80,Republican,1,65+
61,Democrat,1,45-64
79,Republican,1,65+
69,Democrat,1,65+
44,Democrat,0,30-44
80,Democrat,1,65+
57,Republican,0,45-64
77,Republican,1,65+
34,Democrat,0,30-44
42,Republican,0,30-44
21,Independent,1,18-29
18,Independent,0,18-29
46,Republican,1,45-64
60,Republican,0,45-64
59,Republican,1,45-64
76,Republican,1,65+
70,Democrat,1,65+
41,Republican,1,30-44
34,Republican,0,30-44
47,Republican,0,45-64
25,Republican,0,18-29
76,Democrat,0,65+
64,Democrat,1,45-64
84,Democrat,1,65+
56,Democrat,1,45-64
31,Democrat,1,30-44
19,Democrat,0,18-29
54,Republican,1,45-64
49,Independent,0,45-64
50,Republican,1,45-64
81,Republican,1,65+
48,Democrat,0,45-64
88,Republican,1,65+
36,Republican,1,30-44
77,Republican,0,65+
51,Republican,1,45-64
80,Independent,1,65+
63,Democrat,1,45-64
52,Republican,1,45-64
69,Republican,0,65+
83,Republican,1,65+
38,Republican,0,30-44
76,Democrat,1,65+
62,Independent,0,45-64
77,Democrat,1,65+
89,Republican,1,65+
27,Republican,0,18-29
34,Democrat,0,30-44
79,Republican,0,65+
61,Democrat,1,45-64
37,Independent,0,30-44
42,Democrat,0,30-44
41,Democrat,0,30-44
83,Democrat,1,65+
81,Republican,0,65+
22,Democrat,0,18-29
72,Democrat,1,65+
19,Democrat,0,18-29
82,Democrat,1,65+
70,Republican,0,65+
30,Republican,0,30-44
40,Republican,1,30-44
40,Republican,0,30-44
86,Republican,1,65+
59,Democrat,0,45-64
85,Democrat,1,65+
71,Democrat,1,65+
20,Democrat,1,18-29
21,Republican,0,18-29
37,Democrat,0,30-44
25,Democrat,1,18-29
51,Democrat,1,45-64
22,Republican,0,18-29
48,Independent,1,45-64
64,Republican,1,45-64
61,Republican,1,45-64
53,Democrat,1,45-64
86,Republican,1,65+
40,Democrat,0,30-44
72,Democrat,1,65+
50,Republican,1,45-64
76,Republican,0,65+
47,Republican,1,45-64
54,Democrat,0,45-64
54,Independent,1,45-64
51,Democrat,0,45-64
79,Democrat,1,65+
42,Democrat,1,30-44
39,Republican,1,30-44
71,Republican,0,65+
88,Democrat,1,65+
70,Republican,0,65+
68,Republican,1,65+
20,Republican,0,18-29
53,Democrat,1,45-64
39,Democrat,0,30-44
21,Democrat,1,18-29
58,Democrat,0,45-64
22,Democrat,0,18-29
40,Republican,1,30-44
60,Republican,1,45-64
83,Democrat,1,65+
83,Republican,0,65+
72,Republican,0,65+
57,Democrat,1,45-64
46,Republican,1,45-64
73,Democrat,0,65+
25,Republican,0,18-29
45,Democrat,1,45-64
45,Democrat,1,45-64
20,Republican,1,18-29
45,Democrat,0,45-64
58,Independent,0,45-64
43,Democrat,1,30-44
43,Independent,1,30-44
38,Republican,0,30-44
74,Republican,0,65+
70,Democrat,1,65+
62,Republican,0,45-64
33,Independent,0,30-44
89,Republican,0,65+
75,Republican,0,65+
22,Democrat,1,18-29
71,Republican,1,65+
56,Republican,0,45-64
70,Democrat,1,65+
20,Democrat,1,18-29
66,Republican,0,65+
61,Democrat,0,45-64
58,Democrat,1,45-64
47,Democrat,1,45-64
86,Democrat,0,65+
26,Democrat,0,18-29
54,Republican,1,45-64
78,Republican,1,65+
53,Republican,1,45-64
42,Democrat,0,30-44
62,Democrat,0,45-64
44,Republican,0,30-44
26,Democrat,0,18-29
45,Democrat,0,45-64
55,Republican,1,45-64
23,Democrat,1,18-29
62,Republican,0,45-64
64,Democrat,0,45-64
65,Republican,0,65+
43,Republican,1,30-44
63,Democrat,1,45-64
25,Democrat,0,18-29
23,Democrat,1,18-29
36,Republican,1,30-44
70,Democrat,1,65+
31,Democrat,1,30-44
30,Democrat,1,30-44
74,Democrat,1,65+
86,Democrat,0,65+
59,Republican,1,45-64
87,Republican,1,65+
45,Democrat,1,45-64
40,Democrat,1,30-44
40,Republican,0,30-44
68,Democrat,1,65+
50,Republican,0,45-64
56,Democrat,0,45-64
77,Democrat,1,65+
31,Republican,0,30-44
65,Republican,0,65+
57,Republican,1,45-64
81,Democrat,1,65+
70,Republican,1,65+
61,Republican,1,45-64
62,Republican,1,45-64
33,Republican,0,30-44
80,Independent,1,65+
23,Republican,0,18-29
86,Republican,1,65+
42,Democrat,1,30-44
78,Republican,1,65+
61,Democrat,0,45-64
73,Democrat,1,65+
25,Republican,0,18-29
55,Republican,0,45-64
74,Democrat,0,65+
81,Republican,1,65+
57,Republican,0,45-64
52,Republican,0,45-64
54,Democrat,0,45-64
41,Republican,1,30-44
38,Democrat,1,30-44
88,Republican,1,65+
89,Republican,1,65+
19,Republican,1,18-29
84,Democrat,1,65+
28,Democrat,1,18-29
76,Democrat,1,65+
54,Republican,0,45-64
68,Republican,0,65+
34,Independent,0,30-44
62,Republican,0,45-64
66,Independent,0,65+
46,Republican,0,45-64
29,Democrat,1,18-29
27,Republican,0,18-29
41,Democrat,1,30-44
88,Republican,0,65+
36,Independent,0,30-44
55,Democrat,0,45-64
82,Democrat,1,65+
39,Democrat,0,30-44
54,Republican,1,45-64
67,Democrat,1,65+
70,Republican,1,65+
53,Republican,1,45-64
25,Democrat,0,18-29
28,Republican,0,18-29
39,Republican,0,30-44
77,Democrat,1,65+
35,Republican,0,30-44
32,Democrat,1,30-44
35,Democrat,0,30-44
69,Democrat,0,65+
84,Republican,1,65+
32,Democrat,1,30-44
65,Republican,0,65+
35,Democrat,1,30-44
45,Republican,0,45-64
53,Democrat,0,45-64
77,Republican,1,65+
37,Democrat,0,30-44
59,Republican,1,45-64
36,Democrat,0,30-44
26,Republican,0,18-29
24,Democrat,0,18-29
45,Republican,1,45-64
67,Democrat,1,65+
35,Republican,1,30-44
70,Republican,1,65+
48,Democrat,1,45-64
56,Republican,0,45-64
25,Republican,1,18-29
30,Republican,0,30-44
66,Republican,1,65+
87,Republican,1,65+
63,Republican,1,45-64
64,Democrat,0,45-64
38,Republican,0,30-44
87,Democrat,1,65+
58,Democrat,1,45-64
60,Republican,0,45-64
43,Republican,0,30-44
22,Republican,1,18-29
56,Republican,1,45-64
50,Republican,0,45-64
57,Democrat,1,45-64
37,Democrat,1,30-44
52,Democrat,0,45-64
62,Republican,0,45-64
46,Democrat,0,45-64
63,Republican,1,45-64
78,Democrat,1,65+
85,Independent,1,65+
69,Republican,0,65+
64,Republican,0,45-64
64,Democrat,1,45-64
23,Republican,0,18-29
71,Republican,0,65+
65,Republican,1,65+
83,Republican,1,65+
72,Republican,1,65+
42,Republican,1,30-44
